NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
43566,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
43566,E6:CS,1278.75,BPSK(5),16.0,15.0
43566,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
36590,B1:B1I,1561.098,BPSK(2),10.0,10.0
36590,B3:B3I,1268.52,BPSK(10),16.0,16.0
36590,B2:B2I,1207.14,BPSK(2),14.0,12.0
38091,B1:B1I,1561.098,BPSK(2),10.0,10.0
38091,B3:B3I,1268.52,BPSK(10),16.0,16.0
38091,B2:B2I,1207.14,BPSK(2),14.0,12.0
38953,B1:B1I,1561.098,BPSK(2),10.0,10.0
38953,B3:B3I,1268.52,BPSK(10),16.0,16.0
38953,B2:B2I,1207.14,BPSK(2),14.0,12.0
40748,B1:B1I,1561.098,BPSK(2),10.0,10.0
40748,B3:B3I,1268.52,BPSK(10),16.0,16.0
40748,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
40748,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
41315,B1:B1I,1561.098,BPSK(2),10.0,10.0
41315,B3:B3I,1268.52,BPSK(10),16.0,16.0
41315,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
41315,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
43001,B1:B1I,1561.098,BPSK(2),10.0,10.0
43001,B3:B3I,1268.52,BPSK(10),16.0,16.0
43001,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43001,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
43002,B1:B1I,1561.098,BPSK(2),10.0,10.0
43002,B3:B3I,1268.52,BPSK(10),16.0,16.0
43002,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43002,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
43107,B1:B1I,1561.098,BPSK(2),10.0,10.0
43107,B3:B3I,1268.52,BPSK(10),16.0,16.0
43107,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43107,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
43108,B1:B1I,1561.098,BPSK(2),10.0,10.0
43108,B3:B3I,1268.52,BPSK(10),16.0,16.0
43108,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43108,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
43581,B1:B1I,1561.098,BPSK(2),10.0,10.0
43581,B3:B3I,1268.52,BPSK(10),16.0,16.0
43581,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43581,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
