NORAD ID,Name 1562857793,Name 1556138397,Name 1554156377,Name 1553966342,Name 1551055211,Satellite,Constellation,Generation,Observations
36828,BEIDOU-5-(C06),BEIDOU-5,BEIDOU-IGSO-1,BEIDOU-IGSO-1,BEIDOU-IGSO-1,BEIDOU-2 IGSO-1,BEIDOU,BDS-2,31/08/2010 - 
37210,BEIDOU-6-(C04),BEIDOU-6,BEIDOU-G4,BEIDOU-G4,BEIDOU-G4,BEIDOU-2 G4,BEIDOU,BDS-2,31/10/2010 - 
37256,BEIDOU-7-(C07),BEIDOU-7,BEIDOU-IGSO-2,BEIDOU-IGSO-2,BEIDOU-IGSO-2,BEIDOU-2 IGSO-2,BEIDOU,BDS-2,17/12/2010 - 
37384,BEIDOU-8-(C08),BEIDOU-8,BEIDOU-IGSO-3,BEIDOU-IGSO-3,BEIDOU-IGSO-3,BEIDOU-2 IGSO-3,BEIDOU,BDS-2,9/04/2011 - 
37763,BEIDOU-9-(C09),BEIDOU-9,BEIDOU-IGSO-4,BEIDOU-IGSO-4,BEIDOU-IGSO-4,BEIDOU-2 IGSO-4,BEIDOU,BDS-2,26/07/2011 - 
37948,BEIDOU-10-(C10),BEIDOU-10,BEIDOU-IGSO-5,BEIDOU-IGSO-5,BEIDOU-IGSO-5,BEIDOU-2 IGSO-5,BEIDOU,BDS-2,1/12/2011 - 
38091,BEIDOU-11-(C05),BEIDOU-11,BEIDOU-G5,BEIDOU-G5,BEIDOU-G5,BEIDOU-2 G5,BEIDOU,BDS-2,24/02/2012 - 
38250,BEIDOU-12-(C11),BEIDOU-12,BEIDOU-M3,BEIDOU-M3,BEIDOU-M3,BEIDOU-2 M3,BEIDOU,BDS-2,29/04/2012 - 
38251,BEIDOU-13-(C12),BEIDOU-13,BEIDOU-M4,BEIDOU-M4,BEIDOU-M4,BEIDOU-2 M4,BEIDOU,BDS-2,29/04/2012 - 
38774,,,,,,BEIDOU-2 M5,BEIDOU,BDS-2,18/09/2012 - 21/10/2014
