NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
38091,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
38091,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
38251,B1-2:RS,1561.098,BPSK(2),10.0,10.0
38251,B3:RS,1268.52,BPSK(10),16.0,16.0
38251,B2b:OS,1207.14,BPSK(2),14.0,12.0
38251,B2b:RS,1207.14,BPSK(10),18.0,18.0
38251,B1-2:OS,1561.098,BPSK(2),10.0,10.0
38251,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
38251,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
38251,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
38775,B1-2:RS,1561.098,BPSK(2),10.0,10.0
38775,B3:RS,1268.52,BPSK(10),16.0,16.0
38775,B2b:OS,1207.14,BPSK(2),14.0,12.0
38775,B2b:RS,1207.14,BPSK(10),18.0,18.0
38775,B1-2:OS,1561.098,BPSK(2),10.0,10.0
38775,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
38775,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
38775,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
40749,B1-2:RS,1561.098,BPSK(2),10.0,10.0
40749,B3:RS,1268.52,BPSK(10),16.0,16.0
40749,B2b:OS,1207.14,BPSK(2),14.0,12.0
40749,B2b:RS,1207.14,BPSK(10),18.0,18.0
40749,B1-2:OS,1561.098,BPSK(2),10.0,10.0
40749,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
40749,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
40749,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
43001,B1-2:RS,1561.098,BPSK(2),10.0,10.0
43001,B3:RS,1268.52,BPSK(10),16.0,16.0
43001,B2b:OS,1207.14,BPSK(2),14.0,12.0
43001,B2b:RS,1207.14,BPSK(10),18.0,18.0
43001,B1-2:OS,1561.098,BPSK(2),10.0,10.0
43001,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
43001,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
43001,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
43207,B1-2:RS,1561.098,BPSK(2),10.0,10.0
43207,B3:RS,1268.52,BPSK(10),16.0,16.0
43207,B2b:OS,1207.14,BPSK(2),14.0,12.0
43207,B2b:RS,1207.14,BPSK(10),18.0,18.0
43207,B1-2:OS,1561.098,BPSK(2),10.0,10.0
43207,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
43207,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
43207,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
43208,B1-2:RS,1561.098,BPSK(2),10.0,10.0
43208,B3:RS,1268.52,BPSK(10),16.0,16.0
43208,B2b:OS,1207.14,BPSK(2),14.0,12.0
43208,B2b:RS,1207.14,BPSK(10),18.0,18.0
43208,B1-2:OS,1561.098,BPSK(2),10.0,10.0
43208,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
43208,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
43208,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
43245,B1-2:RS,1561.098,BPSK(2),10.0,10.0
43245,B3:RS,1268.52,BPSK(10),16.0,16.0
43245,B2b:OS,1207.14,BPSK(2),14.0,12.0
43245,B2b:RS,1207.14,BPSK(10),18.0,18.0
43245,B1-2:OS,1561.098,BPSK(2),10.0,10.0
43245,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
43245,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
43245,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
43602,B1-2:RS,1561.098,BPSK(2),10.0,10.0
43602,B3:RS,1268.52,BPSK(10),16.0,16.0
43602,B2b:OS,1207.14,BPSK(2),14.0,12.0
43602,B2b:RS,1207.14,BPSK(10),18.0,18.0
43602,B1-2:OS,1561.098,BPSK(2),10.0,10.0
43602,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
43602,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
43602,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
43647,B1-2:RS,1561.098,BPSK(2),10.0,10.0
43647,B3:RS,1268.52,BPSK(10),16.0,16.0
43647,B2b:OS,1207.14,BPSK(2),14.0,12.0
43647,B2b:RS,1207.14,BPSK(10),18.0,18.0
43647,B1-2:OS,1561.098,BPSK(2),10.0,10.0
43647,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
43647,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
43647,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
43706,B1-2:RS,1561.098,BPSK(2),10.0,10.0
43706,B3:RS,1268.52,BPSK(10),16.0,16.0
43706,B2b:OS,1207.14,BPSK(2),14.0,12.0
43706,B2b:RS,1207.14,BPSK(10),18.0,18.0
43706,B1-2:OS,1561.098,BPSK(2),10.0,10.0
43706,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
43706,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
43706,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
39199,L5:SPS,1176.45,BPSK(1),16.0,14.0
39199,L5:RS-D,1176.45,"BOC(5,2)",18.0,16.0
39635,L5:SPS,1176.45,BPSK(1),16.0,14.0
39635,L5:RS-D,1176.45,"BOC(5,2)",18.0,16.0
40269,L5:SPS,1176.45,BPSK(1),16.0,14.0
40269,L5:RS-D,1176.45,"BOC(5,2)",18.0,16.0
41384,L5:SPS,1176.45,BPSK(1),16.0,14.0
41384,L5:RS-D,1176.45,"BOC(5,2)",18.0,16.0
43286,L5:SPS,1176.45,BPSK(1),16.0,14.0
